,question,answer,source
0,工業数学Ⅱ 7組,科目番号は工共112、教室は[月2]工1－321、登録人数は70、履修登録方法は抽選対象、開講年度は2022、期間は後学期、曜日時限は月2、開講学部等は工学部工学科、講義コードは610003072、科目名[英文名]は工業数学Ⅱ 7組、単位数は2、担当教員[ローマ字表記]は山田 孝治 先生です。,https://tiglon.jim.u-ryukyu.ac.jp/portal/Public/Syllabus/SyllabusSearchStart.aspx?lct_year=2022&lct_cd=610003072&je_cd=1
1,基礎数学Ⅱ 4組,"科目番号は工共119、教室は[月3]工1－321、登録人数は70、履修登録方法は調整期間登録、開講年度は2022、期間は後学期、曜日時限は月3、開講学部等は工学部工学科、講義コードは610006072、科目名[英文名]は基礎数学Ⅱ 4組、単位数は1、担当教員[ローマ字表記]は名嘉村 盛和 先生 ,  吉田 たけお 先生です。",https://tiglon.jim.u-ryukyu.ac.jp/portal/Public/Syllabus/SyllabusSearchStart.aspx?lct_year=2022&lct_cd=610006072&je_cd=1
2,工学概論,科目番号は工共150、教室は[木1]工1－221、登録人数は40、履修登録方法は抽選対象、開講年度は2022、期間は後学期、曜日時限は木1、開講学部等は工学部工学科、講義コードは610007012、科目名[英文名]は工学概論、単位数は2、担当教員[ローマ字表記]は柴田 信一 先生です。,https://tiglon.jim.u-ryukyu.ac.jp/portal/Public/Syllabus/SyllabusSearchStart.aspx?lct_year=2022&lct_cd=610007012&je_cd=1
3,プログラミングⅡ,科目番号は工共214、教室は[火1]工1－321、登録人数は70、履修登録方法は抽選対象、開講年度は2022、期間は後学期、曜日時限は火1、開講学部等は工学部工学科、講義コードは610011072、科目名[英文名]はプログラミングⅡ、単位数は2、担当教員[ローマ字表記]は當間 愛晃 先生です。,https://tiglon.jim.u-ryukyu.ac.jp/portal/Public/Syllabus/SyllabusSearchStart.aspx?lct_year=2022&lct_cd=610011072&je_cd=1
4,エンジニアリングデザイン演習 7組,"科目番号は工共302、教室は[火4]地創棟508 [火5]地創棟508、登録人数は70、履修登録方法は調整期間登録、開講年度は2022、期間は後学期、曜日時限は火4〜5、開講学部等は工学部工学科、講義コードは610014072、科目名[英文名]はエンジニアリングデザイン演習 7組、単位数は2、担当教員[ローマ字表記]は國田　樹　[Itsuki Kunita] 先生 ,  全教員 先生です。",https://tiglon.jim.u-ryukyu.ac.jp/portal/Public/Syllabus/SyllabusSearchStart.aspx?lct_year=2022&lct_cd=610014072&je_cd=1
5,Frontiers of Engineering,科目番号は工共320、教室は[月5]工3－101、登録人数は20、履修登録方法は抽選対象、開講年度は2022、期間は後学期、曜日時限は月5、開講学部等は工学部工学科、講義コードは610015002、科目名[英文名]はFrontiers of Engineering、単位数は2、担当教員[ローマ字表記]は比嘉 広樹 先生です。,https://tiglon.jim.u-ryukyu.ac.jp/portal/Public/Syllabus/SyllabusSearchStart.aspx?lct_year=2022&lct_cd=610015002&je_cd=1
6,技術英語Ⅱ,科目番号は工共322、教室は[水1]工1－322、登録人数は40、履修登録方法は抽選対象、開講年度は2022、期間は後学期、曜日時限は水1、開講学部等は工学部工学科、講義コードは610017002、科目名[英文名]は技術英語Ⅱ、単位数は2、担当教員[ローマ字表記]は和田 知久 先生です。,https://tiglon.jim.u-ryukyu.ac.jp/portal/Public/Syllabus/SyllabusSearchStart.aspx?lct_year=2022&lct_cd=610017002&je_cd=1
7,地域課題解決実践演習,科目番号は工共330、教室はなし、登録人数は35、履修登録方法は調整期間登録、開講年度は2022、期間は後学期、曜日時限は集中、開講学部等は工学部工学科、講義コードは610018002、科目名[英文名]は地域課題解決実践演習、単位数は2、担当教員[ローマ字表記]は遠藤 聡志 先生です。,https://tiglon.jim.u-ryukyu.ac.jp/portal/Public/Syllabus/SyllabusSearchStart.aspx?lct_year=2022&lct_cd=610018002&je_cd=1
8,インターンシップⅠ 3組,科目番号は工共338、教室はなし、登録人数はなし、履修登録方法は調整期間登録、開講年度は2022、期間は後学期、曜日時限は集中、開講学部等は工学部工学科、講義コードは610026072、科目名[英文名]はインターンシップⅠ 3組、単位数は1、担当教員[ローマ字表記]は當間 愛晃 先生です。,https://tiglon.jim.u-ryukyu.ac.jp/portal/Public/Syllabus/SyllabusSearchStart.aspx?lct_year=2022&lct_cd=610026072&je_cd=1
9,インターンシップⅡ 3組,科目番号は工共339、教室はなし、登録人数はなし、履修登録方法は調整期間登録、開講年度は2022、期間は後学期、曜日時限は集中、開講学部等は工学部工学科、講義コードは610027072、科目名[英文名]はインターンシップⅡ 3組、単位数は1、担当教員[ローマ字表記]は當間 愛晃 先生です。,https://tiglon.jim.u-ryukyu.ac.jp/portal/Public/Syllabus/SyllabusSearchStart.aspx?lct_year=2022&lct_cd=610027072&je_cd=1
10,インターンシップⅢ 3組,科目番号は工共340、教室はなし、登録人数はなし、履修登録方法は調整期間登録、開講年度は2022、期間は後学期、曜日時限は集中、開講学部等は工学部工学科、講義コードは610028072、科目名[英文名]はインターンシップⅢ 3組、単位数は2、担当教員[ローマ字表記]は當間 愛晃 先生です。,https://tiglon.jim.u-ryukyu.ac.jp/portal/Public/Syllabus/SyllabusSearchStart.aspx?lct_year=2022&lct_cd=610028072&je_cd=1
11,国際インターンシップⅠ,科目番号は工共341、教室はなし、登録人数はなし、履修登録方法は調整期間登録、開講年度は2022、期間は後学期、曜日時限は集中、開講学部等は工学部工学科、講義コードは610029002、科目名[英文名]は国際インターンシップⅠ、単位数は1、担当教員[ローマ字表記]は福田　朝生　[Tomoo Fukuda] 先生です。,https://tiglon.jim.u-ryukyu.ac.jp/portal/Public/Syllabus/SyllabusSearchStart.aspx?lct_year=2022&lct_cd=610029002&je_cd=1
12,卒業研究Ⅱ 6組,"科目番号は工共402、教室はなし、登録人数はなし、履修登録方法は調整期間登録、開講年度は2022、期間は後学期、曜日時限はその他、開講学部等は工学部工学科、講義コードは610033072、科目名[英文名]は卒業研究Ⅱ 6組、単位数は3、担当教員[ローマ字表記]は吉田 たけお 先生 ,  岡﨑 威生 先生です。",https://tiglon.jim.u-ryukyu.ac.jp/portal/Public/Syllabus/SyllabusSearchStart.aspx?lct_year=2022&lct_cd=610033072&je_cd=1
13,セミナーⅡ 5組,"科目番号は工共406、教室はなし、登録人数はなし、履修登録方法は調整期間登録、開講年度は2022、期間は後学期、曜日時限はその他、開講学部等は工学部工学科、講義コードは610037072、科目名[英文名]はセミナーⅡ 5組、単位数は1、担当教員[ローマ字表記]は吉田 たけお 先生 ,  岡﨑 威生 先生 ,  全教員 先生です。",https://tiglon.jim.u-ryukyu.ac.jp/portal/Public/Syllabus/SyllabusSearchStart.aspx?lct_year=2022&lct_cd=610037072&je_cd=1
14,国際インターンシップⅡ,科目番号は工共441、教室はなし、登録人数はなし、履修登録方法は調整期間登録、開講年度は2022、期間は後学期、曜日時限は集中、開講学部等は工学部工学科、講義コードは610039002、科目名[英文名]は国際インターンシップⅡ、単位数は2、担当教員[ローマ字表記]は福田　朝生　[Tomoo Fukuda] 先生です。,https://tiglon.jim.u-ryukyu.ac.jp/portal/Public/Syllabus/SyllabusSearchStart.aspx?lct_year=2022&lct_cd=610039002&je_cd=1
15,情報科教育法A,科目番号は工共451、教室は[木1]工1－321、登録人数は10、履修登録方法は調整期間登録、開講年度は2022、期間は後学期、曜日時限は木1、開講学部等は工学部工学科、講義コードは610041002、科目名[英文名]は情報科教育法A、単位数は2、担当教員[ローマ字表記]は岡﨑 威生 先生です。,https://tiglon.jim.u-ryukyu.ac.jp/portal/Public/Syllabus/SyllabusSearchStart.aspx?lct_year=2022&lct_cd=610041002&je_cd=1
16,教職実践演習（高） 2組,"科目番号は全教412、教室はなし、登録人数は10、履修登録方法は調整期間登録、開講年度は2022、期間は後学期、曜日時限はその他、開講学部等は教育学部、講義コードは306642022、科目名[英文名]は教職実践演習（高） 2組、単位数は2、担当教員[ローマ字表記]は岡﨑 威生 先生 ,  當間 愛晃 先生です。",https://tiglon.jim.u-ryukyu.ac.jp/portal/Public/Syllabus/SyllabusSearchStart.aspx?lct_year=2022&lct_cd=306642022&je_cd=1
17,プログラミング演習Ⅱ,科目番号は知能102、教室は[火2]工1－321、登録人数は70、履修登録方法は抽選対象、開講年度は2022、期間は後学期、曜日時限は火2、開講学部等は工学部工学科、講義コードは617001002、科目名[英文名]はプログラミング演習Ⅱ、単位数は1、担当教員[ローマ字表記]は赤嶺 有平　[Akamine Yuhei] 先生です。,https://tiglon.jim.u-ryukyu.ac.jp/portal/Public/Syllabus/SyllabusSearchStart.aspx?lct_year=2022&lct_cd=617001002&je_cd=1
18,離散数学,科目番号は知能103、教室は[木4]工1－322、登録人数は70、履修登録方法は抽選対象、開講年度は2022、期間は後学期、曜日時限は木4、開講学部等は工学部工学科、講義コードは617002002、科目名[英文名]は離散数学、単位数は2、担当教員[ローマ字表記]は遠藤 聡志 先生です。,https://tiglon.jim.u-ryukyu.ac.jp/portal/Public/Syllabus/SyllabusSearchStart.aspx?lct_year=2022&lct_cd=617002002&je_cd=1
19,知能情報実験Ⅱ 1組,"科目番号は知能202、教室は[月3]地創棟508 [月4]地創棟508、登録人数は40、履修登録方法は抽選対象、開講年度は2022、期間は後学期、曜日時限は月3〜4、開講学部等は工学部工学科、講義コードは617004012、科目名[英文名]は知能情報実験Ⅱ 1組、単位数は1.5、担当教員[ローマ字表記]は吉田 たけお 先生 ,  宮里 智樹 先生 ,  宮里 智樹 先生です。",https://tiglon.jim.u-ryukyu.ac.jp/portal/Public/Syllabus/SyllabusSearchStart.aspx?lct_year=2022&lct_cd=617004012&je_cd=1
20,オペレーティングシステム,科目番号は知能208、教室は[火3]工1－321、登録人数は65、履修登録方法は抽選対象、開講年度は2022、期間は後学期、曜日時限は火3、開講学部等は工学部工学科、講義コードは617010002、科目名[英文名]はオペレーティングシステム、単位数は2、担当教員[ローマ字表記]は河野 真治 先生です。,https://tiglon.jim.u-ryukyu.ac.jp/portal/Public/Syllabus/SyllabusSearchStart.aspx?lct_year=2022&lct_cd=617010002&je_cd=1
21,コンピュータアーキテクチャ,科目番号は知能209、教室は[金1]工1－322、登録人数は90、履修登録方法は抽選対象、開講年度は2022、期間は後学期、曜日時限は金1、開講学部等は工学部工学科、講義コードは617011002、科目名[英文名]はコンピュータアーキテクチャ、単位数は2、担当教員[ローマ字表記]は和田 知久 先生です。,https://tiglon.jim.u-ryukyu.ac.jp/portal/Public/Syllabus/SyllabusSearchStart.aspx?lct_year=2022&lct_cd=617011002&je_cd=1
22,データベースシステム,科目番号は知能210、教室は[木5]工1－321、登録人数は70、履修登録方法は抽選対象、開講年度は2022、期間は後学期、曜日時限は木5、開講学部等は工学部工学科、講義コードは617012002、科目名[英文名]はデータベースシステム、単位数は2、担当教員[ローマ字表記]は長山 格 先生です。,https://tiglon.jim.u-ryukyu.ac.jp/portal/Public/Syllabus/SyllabusSearchStart.aspx?lct_year=2022&lct_cd=617012002&je_cd=1
